over	2	0.017
over	8	0.017
over	32	0.017
over	512	0.017
over	4096	0.017
over	32768	0.019
dac	2	0.001
dac	8	0.001
dac	32	0.001
dac	512	0.001
dac	4096	0.002
dac	32768	0.003
philo	2	0.008
philo	8	0.011
philo	32	0.011
philo	512	0.011
philo	4096	0.011
philo	32768	0.012
buffer	2	0.001
buffer	8	0.001
buffer	32	0.002
buffer	512	0.001
buffer	4096	0.002
buffer	32768	0.007
replicator	2	0.002
replicator	8	0.001
replicator	32	0.001
replicator	512	0.001
replicator	4096	0.002
replicator	32768	0.004
iterated_choice	2	0.002
iterated_choice	8	0.002
iterated_choice	32	0.002
iterated_choice	512	0.002
iterated_choice	4096	0.002
iterated_choice	32768	0.004
hartstone	2	0.013
hartstone	4	0.039
hartstone	8	2.013
hartstone	10	4.016
hartstone	13	10.445
hartstone	16	25.252
token_ring	2	0.008
token_ring	4	0.035
token_ring	8	2.043
token_ring	10	4.072
token_ring	13	10.026
token_ring	16	19.247
cyclic	2	0.005
cyclic	4	0.017
cyclic	8	0.094
cyclic	10	1.077
cyclic	13	3.075
cyclic	16	6.091
counter	2	0.004
counter	4	0.011
counter	8	0.087
counter	10	1.075
counter	13	4.035
counter	16	8.649
conjunction_tree	2	0.001
conjunction_tree	8	0.001
conjunction_tree	32	0.002
conjunction_tree	128	0.002
conjunction_tree	512	0.011
conjunction_tree	2048	1.069
disjunction_tree	1	0.002
disjunction_tree	2	0.004
disjunction_tree	3	12.455
disjunction_tree	4	FAIL: TimeOut
disjunction_tree	5	FAIL: TimeOut
disjunction_tree	6	FAIL: TimeOut
